time_seconds,voltage_raw
0.0,1881.0
0.0,1881.0
0.0,1943.0
0.0,1945.0
0.0,1889.0
0.0,1868.0
0.0,1915.0
0.0,1931.0
0.0,1882.0
0.0,1865.0
0.0,1909.0
0.0,1949.0
0.0,1903.0
0.0,1867.0
0.0,1903.0
0.0,1965.0
0.0,1958.0
0.0,1935.0
0.0,1976.0
0.0,2031.0
0.0,2022.0
0.0,1973.0
0.0,1975.0
0.0,2036.0
0.0,2035.0
0.0,1966.0
0.0,1935.0
0.0,1963.0
0.0,1966.0
0.0,1901.0
0.0,1863.0
0.0,1891.0
0.0,1903.0
0.0,1855.0
0.0,1828.0
0.0,1869.0
0.0,1899.0
0.0,1865.0
0.0,1820.0
0.0,1851.0
0.0,1900.0
0.0,1876.0
0.0,1821.0
0.0,1828.0
0.0,1882.0
0.0,1876.0
0.0,1823.0
0.0,1835.0
0.0,1883.0
0.0,1848.0
0.0,1737.0
0.0,1707.0
0.0,1775.0
0.0,1804.0
0.0,1874.0
0.0,2125.0
0.01225137710571289,2713.0
0.01225137710571289,3365.0
0.01225137710571289,3510.0
0.01225137710571289,3098.0
0.012996673583984375,2451.0
0.012996673583984375,1819.0
0.012996673583984375,1445.0
0.012996673583984375,1356.0
0.013800621032714844,1453.0
0.013800621032714844,1597.0
0.013800621032714844,1683.0
0.013800621032714844,1705.0
0.013800621032714844,1767.0
0.013800621032714844,1823.0
0.013800621032714844,1813.0
0.013800621032714844,1768.0
0.015172481536865234,1774.0
0.015172481536865234,1829.0
0.015172481536865234,1831.0
0.015172481536865234,1785.0
0.015172481536865234,1787.0
0.015172481536865234,1843.0
0.015172481536865234,1855.0
0.015172481536865234,1807.0
0.015172481536865234,1785.0
0.015172481536865234,1831.0
0.015172481536865234,1853.0
0.015172481536865234,1817.0
0.015172481536865234,1787.0
0.015172481536865234,1821.0
0.015172481536865234,1851.0
0.015172481536865234,1819.0
0.018235445022583008,1786.0
0.018235445022583008,1815.0
0.018235445022583008,1846.0
0.018235445022583008,1828.0
0.018235445022583008,1799.0
0.018235445022583008,1813.0
0.018235445022583008,1835.0
0.018235445022583008,1812.0
0.018235445022583008,1773.0
0.020061016082763672,1780.0
0.020612239837646484,1805.0
0.020612239837646484,1788.0
0.020612239837646484,1753.0
0.020612239837646484,1765.0
0.020612239837646484,1806.0
0.020612239837646484,1814.0
0.020612239837646484,1784.0
0.020612239837646484,1783.0
0.020612239837646484,1811.0
0.020612239837646484,1817.0
0.022626876831054688,1781.0
